ratio,direction_diversity_mean,direction_diversity_std,effective_rank_mean,effective_rank_std,condition_number_mean,condition_number_std,tail_exponent_mean,tail_exponent_std,spectral_gap_mean,spectral_gap_std,top_10_energy_mean,top_10_energy_std,within_S1_sim_mean,within_S1_sim_std,within_S2_sim_mean,within_S2_sim_std,within_S3_sim_mean,within_S3_sim_std,within_S1_std_mean,within_S1_std_std,within_S2_std_mean,within_S2_std_std,within_S3_std_mean,within_S3_std_std,S1_S2_sim_mean,S1_S2_sim_std,S2_S3_sim_mean,S2_S3_sim_std,S1_S3_sim_mean,S1_S3_sim_std,bridge_score_mean,bridge_score_std,clustering_coef_mean,clustering_coef_std,row_norm_mean_mean,row_norm_mean_std,row_norm_std_mean,row_norm_std_std,row_norm_cv_mean,row_norm_cv_std,row_norm_max_min_ratio_mean,row_norm_max_min_ratio_std,S1_norm_mean_mean,S1_norm_mean_std,S2_norm_mean_mean,S2_norm_mean_std,S3_norm_mean_mean,S3_norm_mean_std,stage_norm_std_mean,stage_norm_std_std,WRC_star_mean,WRC_star_std,composite_risk_mean,composite_risk_std
0,0.6713684503095491,0.07772341628255876,65.32788485539268,3.810147284721705,81.22485031672886,17.69762381553717,1.541581071785518,0.052802870376100805,0.38746068556051716,0.06612216617265215,0.6375261978592192,0.08315987161828213,0.3250452267697879,0.07981100179425069,0.13926165459411485,0.04802431109097212,0.21149897228394235,0.07188208464309025,0.09144388147762844,0.008568340263026759,0.10004730465156692,0.007202171313394856,0.11095978988068445,0.00842288974259784,0.05391851203129461,0.05886303368222133,-0.10148113240986796,0.04856493614387746,0.011057852021507903,0.027721881114604385,-0.17918095463044925,0.06150816777972359,0.22526861788261507,0.0626123880107184,1.9882781672477723,0.43793998499839887,1.273182289174625,0.46133142448735803,0.6144938463266103,0.14268003032575227,11.740761695081098,3.563211927822119,2.5655395671299526,0.7314711785127959,1.5043861445358822,0.22611730490976223,1.437346761737551,0.21645171376924993,0.6338301616002406,0.29744361215618875,0.4513502384767007,0.206754595831296,-1.3212411708473808,12.622650904112655
1,0.7001281208296617,0.0849460541561357,68.23017839525554,3.0019775951542815,66.91995606740316,16.68888603120145,1.494196909268697,0.04470563266483778,0.40103027170501027,0.08852849572396576,0.5911303683121999,0.0811026921618629,0.27222689747810364,0.06790446701504933,0.11598627969622612,0.033248055582482144,0.1306896070142587,0.02720585707092783,0.08001018593708674,0.006223856529927856,0.09713163862625758,0.006462933984784628,0.11569567079345386,0.0070540694942948685,0.019896460475671725,0.03801598030307995,-0.11195603946844737,0.01438203064659409,0.0026777723373864622,0.030317802493413735,-0.1778822894405069,0.03750222761884519,0.17296759472952947,0.03983260431580572,1.7129088679949442,0.28983576923939064,0.9921213533977667,0.36902472916968504,0.5547761566013591,0.1516851029275307,9.401860792930371,3.048443784234392,2.0663076460361482,0.4737161444558565,1.2674977238972982,0.09003046638223505,1.434108696381251,0.18231185743516531,0.42252762452854464,0.20195670950786526,0.32796877266026303,0.1708573867429389,-26.470693046443383,236.89654266141008
2,0.6879253760973613,0.08710181438473517,68.33658915920358,3.107515131605183,68.10758506774903,16.90719791889018,1.4818673666318258,0.05228118791299356,0.4205274655999433,0.08446035530381582,0.5924520417054494,0.08266650715188163,0.27269180059432985,0.06610999046218047,0.11241184110442798,0.029989774704316744,0.10794984425107639,0.021211666215944853,0.07550964638590812,0.005596693739194064,0.09692169219255448,0.006225642290558417,0.11291280607382456,0.006266478393605493,0.017257492166148344,0.03908836829294509,-0.10119219556450844,0.012331915055648542,0.0018833916195823502,0.03239999471125347,-0.16041703942983682,0.03428007737575989,0.16435116198327804,0.036584760505715054,1.7120501474539438,0.29014269788168245,1.02052261253198,0.3795468564487379,0.5703497935730341,0.1560483822907854,9.618822460957839,3.171543744495308,2.0365731457869214,0.46480727077395007,1.2228063082695007,0.07499752381887716,1.4908954115708668,0.20094491047409757,0.4160634721101572,0.20104321751463242,0.3507662757303234,0.17463753219389608,-2.751269675164983,49.12936163374994
3,0.66411638473471,0.092041176114382,67.96932833902576,3.0300707163658696,72.77764840443929,14.944852753626956,1.4851631728808086,0.051786450366492105,0.44936235831254445,0.09356127997945314,0.6045277523994446,0.08302167491719141,0.2746713216106097,0.06653515150011971,0.10913139474888643,0.028005939343533987,0.09748425096273422,0.017631966343579917,0.07130403103927771,0.006290592925284275,0.09631943071881931,0.006065221787737493,0.10956436112523078,0.0053434225643148635,0.01626123289577663,0.03919692484382318,-0.09479517027735711,0.011459160888651836,-0.0006601008739865696,0.03277245032523078,-0.15032337186392397,0.032366447465574155,0.1604289891074101,0.0348232225811667,1.7124615621566772,0.2892506549927213,1.0745771027604738,0.38882608903492505,0.6014010276919034,0.16217212103484596,10.165506245530581,3.2764902748166054,2.0290808204809823,0.4661559910216985,1.204102544784546,0.06921243125547878,1.4921837480862936,0.19812984693340113,0.42034922731108965,0.2039696403087662,0.39543357021820186,0.18711304936411507,-5.824734740459735,38.27801951895899
4,0.6566195076704026,0.10176484349589209,67.99038495047854,3.2495011942996483,74.05036027272543,18.022143674131957,1.4807432349522909,0.04948358718818052,0.4566293388270322,0.09306534130862026,0.6045613662401835,0.08864551350754322,0.2714526228109996,0.06492940357936684,0.10758220374584199,0.02811525051643888,0.09186819389462471,0.01487113399875241,0.06806244512399037,0.006102449198672012,0.09624064862728118,0.005715753017468012,0.10842123960455259,0.00534318311653865,0.017095689369695417,0.04057168761806326,-0.09037857676545778,0.010653669121527183,-0.0017387272327323445,0.0331169126198201,-0.1441157098330344,0.03072081454915026,0.15696767348382207,0.03382930018160175,1.7084087375799815,0.2903517055599891,1.0928702095647653,0.42186321506247687,0.6107009132535961,0.17523215323868743,10.42873689567483,3.716413025292367,2.0109370831648508,0.4597150260312255,1.1969530574480693,0.06593206036124427,1.4967552347977957,0.19847160721331353,0.4135880199881891,0.2015261302260705,0.41719251361019066,0.2205699845610842,0.5024531405451859,32.26232709225998
5,0.6540981311838113,0.08940636238092085,67.44649376903418,3.539870493593934,76.79247697082089,22.017668704487782,1.4986169831070377,0.07138441581627157,0.4356339309708559,0.08428573188198787,0.6140208435985309,0.08546461039781678,0.3013546918601114,0.08569647494231125,0.12245082639342061,0.045571606801401744,0.10153832839466237,0.03573095969149842,0.06354151313380724,0.00831266858725506,0.09536577597944981,0.005135791730859355,0.10775304369812719,0.005328552101494491,0.03932989713885614,0.06556368228621202,-0.07289955797465354,0.035087747721304303,0.007480972416780383,0.046805671982463125,-0.12901428553140837,0.03889474740891991,0.17511461554939814,0.05324947021509282,1.8062948555070182,0.3709906023781966,1.168637432263302,0.4457665174695856,0.6183379744799014,0.15862361711871026,10.870514974537139,3.687043845112043,2.1890258580551554,0.6173446821058537,1.2181559746341233,0.08999923824610549,1.5666030710661791,0.2585308017047438,0.4937525675648514,0.27000032303600996,0.4408539373947585,0.21397645554741399,12.2661840327137,198.35333973761212
6,0.6739121384421984,0.09004778608339845,68.83531148587436,2.8931007937396616,67.88686046600341,15.787715933937498,1.465641139348348,0.05064105607708435,0.44392372241448935,0.08488571151954198,0.5894284162918727,0.08014076880745577,0.26635192573070526,0.06081323542128039,0.10528720823427042,0.02674096431756025,0.0805148522555828,0.012230681467743388,0.06541736625134945,0.0073760721704842405,0.09397593622406324,0.0051100709051359475,0.10376182913780213,0.004645502667869282,0.01424918520807599,0.03865584712139294,-0.08324802987277508,0.009702429080855935,-0.007867365881296185,0.031646509049386144,-0.1319966374132006,0.02809486058997337,0.15071799540685282,0.030504498931057458,1.6906802825133005,0.28103587955312404,1.0316057564814884,0.37986486019189714,0.5845765526733023,0.15823560956339644,9.742914601353313,3.25735373063331,1.9878375550111136,0.451879719311762,1.189056074221929,0.06303161673826962,1.4966398366292317,0.19655362582202246,0.4053410736347238,0.19813965810372533,0.36978968966874687,0.18439748276702952,1.968507022724491,43.38744124410623
7,0.6891790389021237,0.08146210936926018,69.44820813029452,2.4590427006061963,65.91012610117595,14.061008349728823,1.4583345723152161,0.05133357217538416,0.43007469991248987,0.08700955570443537,0.5765250507990519,0.0723706356865187,0.26094295422236125,0.05766969704132371,0.10216480039060116,0.025186842498339114,0.07588351021210353,0.010729615886648464,0.06612135916948318,0.006529558790310642,0.09359015434980393,0.004568038302548823,0.10216977894306183,0.00484016064944079,0.014405160922142385,0.03846199182184258,-0.08199632155398527,0.00955231646635392,-0.010416457394458121,0.02977128341277296,-0.13019706279204912,0.028248650972347644,0.14633042160835533,0.028304994223778246,1.674217799504598,0.2696710424047985,0.9746956909696262,0.33607440933924787,0.5605793320620874,0.1438425091780867,9.196970949676619,2.800303582125723,1.9797539412975311,0.4477722700781723,1.188935097058614,0.061855703780660895,1.4778465803464254,0.18722478951430355,0.40273085913310447,0.19706137631842657,0.3291189359981297,0.1528910788918066,1.5009238946092198,58.18729710452658
8,0.6780350391566753,0.08599111291809969,69.32162746180067,2.5697365420564315,70.41902568817139,15.966871507468278,1.4544141602516174,0.05128775334439274,0.4478774360583615,0.08624133199859733,0.5821059632301331,0.07573760456213777,0.25461463948090873,0.05298572710984147,0.09961408985157807,0.021763046965698155,0.0732309386630853,0.010012984259942083,0.06620319979886213,0.0064391558290465304,0.09347788318991661,0.004452131144572896,0.10098251303037008,0.0043456674198068205,0.01043951241862184,0.035661386377321386,-0.08043756537139415,0.009487134062217649,-0.013107689465590131,0.028967954808189433,-0.12587610426640217,0.0270110869704777,0.14248655599852403,0.0256616133039841,1.6715386422475178,0.2686021058314963,1.0003464701771736,0.35478764444859023,0.574902340196796,0.15156195592101918,9.43493355419899,3.0077131855167414,1.9631336545944214,0.43753159167370287,1.188549755414327,0.06079295786137998,1.4726285930474599,0.18387517377369256,0.3945608619724711,0.1924473776635961,0.3517164911711077,0.16616328343194098,-5.6937200512140285,48.353271715057474
9,0.6891206784546375,0.08669559442914562,69.60425977790864,2.4824687124824996,70.74047214508056,13.878084023175578,1.4643767126401266,0.04991315921460447,0.43710556154025454,0.08889038132410118,0.5731024078528086,0.07482479266359836,0.2524748572707176,0.05358034356119601,0.09750701365371545,0.020886284681281314,0.07157334332664808,0.01007048494493781,0.06623573211332162,0.006426001088406505,0.09351270054777464,0.004530674132838507,0.10090199316541354,0.004282500548692428,0.00795796139757537,0.0337839710626254,-0.07724144379297893,0.009002095777690653,-0.01504991527297534,0.028353966432173118,-0.11984114638825606,0.025395062764507512,0.14051840475036037,0.025212536993580864,1.6652984313170116,0.2660489293911069,0.9695822914938131,0.34766348760114885,0.5594888878486945,0.15058093412023396,9.168791437087487,2.96868972962098,1.9568967092037202,0.43713295187485535,1.191391031742096,0.06114063446209247,1.4693829262256621,0.18222358610115766,0.3903636541465918,0.19221370850949174,0.3305398145724834,0.16371406326910706,-5.231807627534126,46.70587383313631
10,0.673715651601893,0.08898487199536283,68.75084206122254,3.1026750752151355,80.78799384084492,20.462690948460118,1.4786224555606624,0.05926664051573021,0.4327793540275579,0.0864971932532094,0.589183608048769,0.08103670795623553,0.27488489415029155,0.06884760598287379,0.11146372716746403,0.0423361736467578,0.07890695285321188,0.02275441290216786,0.06482445857994003,0.007421286086912745,0.09456551460258861,0.005100365219056039,0.09754257212913535,0.0032681772526582135,0.025232598108961866,0.05409186167525625,-0.06237338401577276,0.030116842072185682,-0.0024291168768428083,0.042274709491381665,-0.10617637507814008,0.03321904607827357,0.15508519139032248,0.042090778070987496,1.7519064461776965,0.341694335594708,1.0734551380399062,0.4131694405978085,0.5852955001054209,0.156814505390853,10.163301273775684,3.5773973247614026,2.1065227890195954,0.5734216135889636,1.2086611190676235,0.07992773570711613,1.533142024346631,0.24082841427575843,0.45741688786605694,0.2519348421054663,0.384678329581187,0.1946200001407887,-8.722938288294479,79.1891361978398
12,0.6971759419639906,0.08545858146156694,70.18817112924664,2.4037839332814714,71.15449509938558,15.673291842396322,1.4394602990150451,0.056666346494507684,0.4266180332127208,0.08774685285401233,0.5652699055274327,0.0731745039562932,0.25329532980918884,0.050008000069707084,0.09250750305751959,0.019404797197798813,0.06714752686520417,0.010986945062896655,0.06529912807047367,0.006178000186077517,0.09437145998080572,0.004672887671084807,0.09562965616583824,0.003091053708868689,0.004213750270816187,0.032186453813343625,-0.07167201998333136,0.00921608069561406,-0.02014925363502698,0.027879727533151284,-0.10961490511040514,0.02427246684580556,0.13765011991063753,0.02352469749277075,1.6547457790374756,0.2611520977358719,0.9410347580413023,0.33931543343201964,0.5466741238512397,0.14796788302850417,8.75577275014714,2.7779463984401374,1.941758105357488,0.43040909519390946,1.1933918003241222,0.05942882537291381,1.460612725019455,0.17988132015670458,0.3823727155725161,0.18922176945370067,0.31307698493616026,0.16101557333109068,340.11591375421375,4204.99551015757
15,0.6999779494106769,0.08468137716281039,70.67832458935534,2.2795288475592552,73.77357680002848,15.2060393109838,1.4145649226506551,0.06046577793683552,0.42332471744386013,0.08627193554134577,0.5612809371948242,0.07314306058627985,0.2546006566286087,0.049968660646021554,0.08837277057270208,0.020153784579406395,0.06318821919461091,0.011169192802931502,0.0620382247120142,0.007436713995784987,0.09697329247991245,0.00577464891932286,0.09365665594736736,0.0030331973990867602,0.0012056824894292125,0.030937592541347994,-0.06613694642980894,0.008990827977912591,-0.02026331934258148,0.029407692536597165,-0.09980826088942801,0.021760009526963997,0.13538721546530724,0.02322664388377472,1.6457346359888712,0.257119526016897,0.9280434976021449,0.3336551671206764,0.5424146703637993,0.14754553916883195,8.756733498289531,2.796368279917623,1.9218868080774942,0.4221639056933629,1.1976423243681589,0.0589758363033537,1.4536765750249228,0.17938496226611153,0.37061212507387004,0.1848916288230543,0.3056762340760154,0.15522030769524625,1.0805435092570717,70.9089598029038
20,0.6805223009983699,0.08631185456892405,70.52581046914733,2.316387366638949,73.78261292775473,19.28350602688723,1.410568208694458,0.061188549962135734,0.4480657398179531,0.08556473381052467,0.5688571796814601,0.07519638479172064,0.256674664914608,0.05186805260911145,0.09187015170852343,0.02345134347049249,0.06020274246732394,0.012711859309600811,0.058920535619060195,0.008121260124864024,0.09710681552688281,0.006003243942901955,0.08882293070356051,0.003609499946222112,-0.0020729730754586247,0.030294709718950825,-0.060005870188275974,0.009520752927939292,-0.025060274723412778,0.027044853499333523,-0.0889895219366008,0.019493777487579713,0.13624918636348513,0.025303427777034773,1.6558688310782115,0.26197627294902825,0.9630960214634736,0.3364080206044158,0.5595565267943844,0.14791576777907858,8.990347348786475,2.7880753429854233,1.9159176834424336,0.4211556410671977,1.2233883329232533,0.0670868499536522,1.4466554673512777,0.18167953680775384,0.35715596958994866,0.18035176979833392,0.3358360831520138,0.15480466829799944,-1.2372075887040455,307.4780404177623
