ratio,seed,iter,success
12,42,0,0.0
12,42,1000,0.9
12,42,2000,0.96
12,42,3000,0.94
12,42,4000,0.94
12,42,5000,0.9
12,42,6000,0.98
12,42,7000,0.96
12,42,8000,0.96
12,42,9000,0.92
12,42,10000,0.98
12,42,11000,0.92
12,42,12000,0.96
12,42,13000,0.9
12,42,14000,1.0
12,42,15000,0.9
12,42,16000,0.9
12,42,17000,0.88
12,42,18000,0.96
12,42,19000,0.82
12,42,20000,0.88
12,42,21000,0.88
12,42,22000,0.92
12,42,23000,0.94
12,42,24000,0.94
12,42,25000,0.88
12,42,26000,0.9
12,42,27000,0.9
12,42,28000,0.9
12,42,29000,0.9
12,42,30000,0.9
12,42,31000,0.9
12,42,32000,0.92
12,42,33000,0.92
12,42,34000,0.92
12,42,35000,0.9
12,42,36000,0.94
12,42,37000,0.88
12,42,38000,0.88
12,42,39000,0.88
12,42,40000,0.88
12,42,41000,0.94
12,42,42000,0.92
12,42,43000,0.94
12,42,44000,0.9
12,42,45000,0.92
12,42,46000,0.9
12,42,47000,0.92
12,42,48000,0.92
12,42,49000,0.9
12,42,50000,0.92
5,42,0,0.0
5,42,1000,0.92
5,42,2000,0.82
5,42,3000,0.78
5,42,4000,0.78
5,42,5000,0.8
5,42,6000,0.82
5,42,7000,0.84
5,42,8000,0.82
5,42,9000,0.8
5,42,10000,0.76
5,42,11000,0.72
5,42,12000,0.76
5,42,13000,0.68
5,42,14000,0.72
5,42,15000,0.62
5,42,16000,0.66
5,42,17000,0.72
5,42,18000,0.7
5,42,19000,0.7
5,42,20000,0.7
5,42,21000,0.7
5,42,22000,0.66
5,42,23000,0.7
5,42,24000,0.7
5,42,25000,0.72
5,42,26000,0.76
5,42,27000,0.68
5,42,28000,0.76
5,42,29000,0.82
5,42,30000,0.82
5,42,31000,0.78
5,42,32000,0.78
5,42,33000,0.78
5,42,34000,0.84
5,42,35000,0.84
5,42,36000,0.88
5,42,37000,0.78
5,42,38000,0.8
5,42,39000,0.8
5,42,40000,0.82
5,42,41000,0.78
5,42,42000,0.84
5,42,43000,0.86
5,42,44000,0.82
5,42,45000,0.84
5,42,46000,0.78
5,42,47000,0.8
5,42,48000,0.86
5,42,49000,0.82
5,42,50000,0.86
8,123,0,0.0
8,123,1000,0.86
8,123,2000,0.92
8,123,3000,0.9
8,123,4000,0.9
8,123,5000,0.88
8,123,6000,0.86
8,123,7000,0.82
8,123,8000,0.9
8,123,9000,0.9
8,123,10000,0.8
8,123,11000,0.78
8,123,12000,0.82
8,123,13000,0.84
8,123,14000,0.78
8,123,15000,0.8
8,123,16000,0.82
8,123,17000,0.74
8,123,18000,0.8
8,123,19000,0.8
8,123,20000,0.82
8,123,21000,0.76
8,123,22000,0.88
8,123,23000,0.78
8,123,24000,0.84
8,123,25000,0.88
8,123,26000,0.78
8,123,27000,0.78
8,123,28000,0.76
8,123,29000,0.86
8,123,30000,0.76
8,123,31000,0.8
8,123,32000,0.78
8,123,33000,0.78
8,123,34000,0.78
8,123,35000,0.82
8,123,36000,0.74
8,123,37000,0.82
8,123,38000,0.82
8,123,39000,0.92
8,123,40000,0.8
8,123,41000,0.82
8,123,42000,0.86
8,123,43000,0.86
8,123,44000,0.84
8,123,45000,0.88
8,123,46000,0.86
8,123,47000,0.84
8,123,48000,0.82
8,123,49000,0.84
8,123,50000,0.84
7,123,0,0.0
7,123,1000,0.86
7,123,2000,0.84
7,123,3000,0.82
7,123,4000,0.86
7,123,5000,0.8
7,123,6000,0.82
7,123,7000,0.86
7,123,8000,0.84
7,123,9000,0.88
7,123,10000,0.86
7,123,11000,0.86
7,123,12000,0.78
7,123,13000,0.8
7,123,14000,0.78
7,123,15000,0.76
7,123,16000,0.78
7,123,17000,0.76
7,123,18000,0.72
7,123,19000,0.7
7,123,20000,0.76
7,123,21000,0.76
7,123,22000,0.72
7,123,23000,0.76
7,123,24000,0.82
7,123,25000,0.84
7,123,26000,0.8
7,123,27000,0.76
7,123,28000,0.8
7,123,29000,0.84
7,123,30000,0.76
7,123,31000,0.84
7,123,32000,0.9
7,123,33000,0.86
7,123,34000,0.82
7,123,35000,0.84
7,123,36000,0.84
7,123,37000,0.8
7,123,38000,0.84
7,123,39000,0.86
7,123,40000,0.84
7,123,41000,0.8
7,123,42000,0.8
7,123,43000,0.82
7,123,44000,0.84
7,123,45000,0.78
7,123,46000,0.84
7,123,47000,0.88
7,123,48000,0.88
7,123,49000,0.76
7,123,50000,0.92
0,456,0,0.0
0,456,1000,0.36
0,456,2000,0.78
0,456,3000,0.84
0,456,4000,0.7
0,456,5000,0.62
0,456,6000,0.68
0,456,7000,0.7
0,456,8000,0.6
0,456,9000,0.64
0,456,10000,0.64
0,456,11000,0.52
0,456,12000,0.54
0,456,13000,0.6
0,456,14000,0.64
0,456,15000,0.7
0,456,16000,0.76
0,456,17000,0.62
0,456,18000,0.68
0,456,19000,0.56
0,456,20000,0.58
0,456,21000,0.52
0,456,22000,0.54
0,456,23000,0.54
0,456,24000,0.7
0,456,25000,0.68
0,456,26000,0.56
0,456,27000,0.62
0,456,28000,0.6
0,456,29000,0.68
0,456,30000,0.66
0,456,31000,0.74
0,456,32000,0.62
0,456,33000,0.6
0,456,34000,0.64
0,456,35000,0.64
0,456,36000,0.6
0,456,37000,0.62
0,456,38000,0.58
0,456,39000,0.6
0,456,40000,0.56
0,456,41000,0.48
0,456,42000,0.46
0,456,43000,0.58
0,456,44000,0.5
0,456,45000,0.56
0,456,46000,0.4
0,456,47000,0.48
0,456,48000,0.46
0,456,49000,0.44
0,456,50000,0.4
9,42,0,0.0
9,42,1000,0.9
9,42,2000,0.9
9,42,3000,0.92
9,42,4000,0.94
9,42,5000,0.98
9,42,6000,0.92
9,42,7000,0.92
9,42,8000,0.92
9,42,9000,0.92
9,42,10000,0.86
9,42,11000,0.86
9,42,12000,0.8
9,42,13000,0.82
9,42,14000,0.9
9,42,15000,0.8
9,42,16000,0.84
9,42,17000,0.84
9,42,18000,0.82
9,42,19000,0.88
9,42,20000,0.84
9,42,21000,0.84
9,42,22000,0.82
9,42,23000,0.86
9,42,24000,0.86
9,42,25000,0.84
9,42,26000,0.82
9,42,27000,0.84
9,42,28000,0.88
9,42,29000,0.88
9,42,30000,0.9
9,42,31000,0.9
9,42,32000,0.92
9,42,33000,0.92
9,42,34000,0.92
9,42,35000,0.92
9,42,36000,0.9
9,42,37000,0.94
9,42,38000,0.82
9,42,39000,0.92
9,42,40000,0.9
9,42,41000,0.84
9,42,42000,0.86
9,42,43000,0.86
9,42,44000,0.84
9,42,45000,0.86
9,42,46000,0.86
9,42,47000,0.9
9,42,48000,0.9
9,42,49000,0.88
9,42,50000,0.88
15,42,0,0.0
15,42,1000,0.94
15,42,2000,0.92
15,42,3000,0.92
15,42,4000,0.94
15,42,5000,0.92
15,42,6000,0.98
15,42,7000,0.98
15,42,8000,0.98
15,42,9000,0.96
15,42,10000,0.96
15,42,11000,0.96
15,42,12000,0.96
15,42,13000,0.9
15,42,14000,0.92
15,42,15000,0.96
15,42,16000,0.96
15,42,17000,0.96
15,42,18000,0.94
15,42,19000,0.98
15,42,20000,0.94
15,42,21000,0.92
15,42,22000,0.94
15,42,23000,0.94
15,42,24000,0.96
15,42,25000,0.96
15,42,26000,0.92
15,42,27000,0.9
15,42,28000,0.96
15,42,29000,0.9
15,42,30000,0.92
15,42,31000,0.86
15,42,32000,0.94
15,42,33000,0.86
15,42,34000,0.9
15,42,35000,0.9
15,42,36000,0.94
15,42,37000,0.86
15,42,38000,0.92
15,42,39000,0.9
15,42,40000,0.9
15,42,41000,0.88
15,42,42000,0.92
15,42,43000,0.92
15,42,44000,0.88
15,42,45000,0.88
15,42,46000,0.92
15,42,47000,0.86
15,42,48000,0.9
15,42,49000,0.86
15,42,50000,0.88
5,123,0,0.0
5,123,1000,0.88
5,123,2000,0.82
5,123,3000,0.86
5,123,4000,0.76
5,123,5000,0.86
5,123,6000,0.8
5,123,7000,0.76
5,123,8000,0.78
5,123,9000,0.84
5,123,10000,0.8
5,123,11000,0.78
5,123,12000,0.8
5,123,13000,0.78
5,123,14000,0.8
5,123,15000,0.78
5,123,16000,0.84
5,123,17000,0.78
5,123,18000,0.78
5,123,19000,0.78
5,123,20000,0.72
5,123,21000,0.8
5,123,22000,0.84
5,123,23000,0.78
5,123,24000,0.8
5,123,25000,0.72
5,123,26000,0.68
5,123,27000,0.76
5,123,28000,0.8
5,123,29000,0.84
5,123,30000,0.86
5,123,31000,0.84
5,123,32000,0.8
5,123,33000,0.8
5,123,34000,0.82
5,123,35000,0.8
5,123,36000,0.76
5,123,37000,0.86
5,123,38000,0.84
5,123,39000,0.78
5,123,40000,0.84
5,123,41000,0.78
5,123,42000,0.84
5,123,43000,0.84
5,123,44000,0.86
5,123,45000,0.86
5,123,46000,0.84
5,123,47000,0.84
5,123,48000,0.86
5,123,49000,0.86
5,123,50000,0.86
2,42,0,0.0
2,42,1000,0.84
2,42,2000,0.82
2,42,3000,0.7
2,42,4000,0.7
2,42,5000,0.7
2,42,6000,0.74
2,42,7000,0.72
2,42,8000,0.68
2,42,9000,0.78
2,42,10000,0.82
2,42,11000,0.72
2,42,12000,0.74
2,42,13000,0.78
2,42,14000,0.8
2,42,15000,0.76
2,42,16000,0.8
2,42,17000,0.84
2,42,18000,0.8
2,42,19000,0.8
2,42,20000,0.74
2,42,21000,0.74
2,42,22000,0.74
2,42,23000,0.74
2,42,24000,0.82
2,42,25000,0.8
2,42,26000,0.78
2,42,27000,0.76
2,42,28000,0.7
2,42,29000,0.82
2,42,30000,0.78
2,42,31000,0.76
2,42,32000,0.82
2,42,33000,0.76
2,42,34000,0.78
2,42,35000,0.68
2,42,36000,0.7
2,42,37000,0.72
2,42,38000,0.66
2,42,39000,0.7
2,42,40000,0.7
2,42,41000,0.76
2,42,42000,0.8
2,42,43000,0.8
2,42,44000,0.74
2,42,45000,0.76
2,42,46000,0.68
2,42,47000,0.66
2,42,48000,0.68
2,42,49000,0.7
2,42,50000,0.68
2,456,0,0.0
2,456,1000,0.76
2,456,2000,0.74
2,456,3000,0.78
2,456,4000,0.74
2,456,5000,0.78
2,456,6000,0.76
2,456,7000,0.72
2,456,8000,0.72
2,456,9000,0.74
2,456,10000,0.68
2,456,11000,0.7
2,456,12000,0.66
2,456,13000,0.7
2,456,14000,0.64
2,456,15000,0.7
2,456,16000,0.62
2,456,17000,0.62
2,456,18000,0.62
2,456,19000,0.62
2,456,20000,0.68
2,456,21000,0.66
2,456,22000,0.68
2,456,23000,0.62
2,456,24000,0.7
2,456,25000,0.72
2,456,26000,0.76
2,456,27000,0.72
2,456,28000,0.72
2,456,29000,0.72
2,456,30000,0.66
2,456,31000,0.76
2,456,32000,0.72
2,456,33000,0.74
2,456,34000,0.84
2,456,35000,0.78
2,456,36000,0.82
2,456,37000,0.78
2,456,38000,0.82
2,456,39000,0.76
2,456,40000,0.7
2,456,41000,0.78
2,456,42000,0.68
2,456,43000,0.64
2,456,44000,0.72
2,456,45000,0.72
2,456,46000,0.76
2,456,47000,0.74
2,456,48000,0.72
2,456,49000,0.74
2,456,50000,0.76
7,42,0,0.0
7,42,1000,0.88
7,42,2000,0.94
7,42,3000,0.88
7,42,4000,0.9
7,42,5000,0.88
7,42,6000,0.84
7,42,7000,0.9
7,42,8000,0.84
7,42,9000,0.86
7,42,10000,0.82
7,42,11000,0.8
7,42,12000,0.8
7,42,13000,0.74
7,42,14000,0.78
7,42,15000,0.78
7,42,16000,0.82
7,42,17000,0.8
7,42,18000,0.78
7,42,19000,0.8
7,42,20000,0.84
7,42,21000,0.78
7,42,22000,0.84
7,42,23000,0.8
7,42,24000,0.84
7,42,25000,0.86
7,42,26000,0.9
7,42,27000,0.82
7,42,28000,0.82
7,42,29000,0.8
7,42,30000,0.86
7,42,31000,0.84
7,42,32000,0.86
7,42,33000,0.78
7,42,34000,0.84
7,42,35000,0.86
7,42,36000,0.82
7,42,37000,0.76
7,42,38000,0.82
7,42,39000,0.82
7,42,40000,0.8
7,42,41000,0.8
7,42,42000,0.76
7,42,43000,0.74
7,42,44000,0.78
7,42,45000,0.8
7,42,46000,0.78
7,42,47000,0.8
7,42,48000,0.74
7,42,49000,0.74
7,42,50000,0.76
3,123,0,0.0
3,123,1000,0.86
3,123,2000,0.88
3,123,3000,0.82
3,123,4000,0.86
3,123,5000,0.84
3,123,6000,0.84
3,123,7000,0.84
3,123,8000,0.86
3,123,9000,0.84
3,123,10000,0.84
3,123,11000,0.8
3,123,12000,0.84
3,123,13000,0.78
3,123,14000,0.78
3,123,15000,0.8
3,123,16000,0.76
3,123,17000,0.74
3,123,18000,0.72
3,123,19000,0.72
3,123,20000,0.76
3,123,21000,0.74
3,123,22000,0.76
3,123,23000,0.76
3,123,24000,0.74
3,123,25000,0.76
3,123,26000,0.76
3,123,27000,0.76
3,123,28000,0.84
3,123,29000,0.78
3,123,30000,0.78
3,123,31000,0.76
3,123,32000,0.86
3,123,33000,0.76
3,123,34000,0.84
3,123,35000,0.8
3,123,36000,0.8
3,123,37000,0.82
3,123,38000,0.84
3,123,39000,0.76
3,123,40000,0.84
3,123,41000,0.82
3,123,42000,0.76
3,123,43000,0.84
3,123,44000,0.74
3,123,45000,0.76
3,123,46000,0.74
3,123,47000,0.7
3,123,48000,0.8
3,123,49000,0.86
3,123,50000,0.8
4,456,0,0.0
4,456,1000,0.9
4,456,2000,0.76
4,456,3000,0.86
4,456,4000,0.82
4,456,5000,0.84
4,456,6000,0.8
4,456,7000,0.82
4,456,8000,0.78
4,456,9000,0.76
4,456,10000,0.74
4,456,11000,0.74
4,456,12000,0.8
4,456,13000,0.8
4,456,14000,0.72
4,456,15000,0.76
4,456,16000,0.74
4,456,17000,0.72
4,456,18000,0.76
4,456,19000,0.74
4,456,20000,0.68
4,456,21000,0.74
4,456,22000,0.76
4,456,23000,0.74
4,456,24000,0.8
4,456,25000,0.8
4,456,26000,0.76
4,456,27000,0.86
4,456,28000,0.78
4,456,29000,0.8
4,456,30000,0.8
4,456,31000,0.82
4,456,32000,0.8
4,456,33000,0.82
4,456,34000,0.8
4,456,35000,0.84
4,456,36000,0.88
4,456,37000,0.84
4,456,38000,0.88
4,456,39000,0.88
4,456,40000,0.78
4,456,41000,0.82
4,456,42000,0.86
4,456,43000,0.82
4,456,44000,0.8
4,456,45000,0.86
4,456,46000,0.84
4,456,47000,0.84
4,456,48000,0.86
4,456,49000,0.82
4,456,50000,0.84
10,123,0,0.0
10,123,1000,0.9
10,123,2000,0.94
10,123,3000,0.9
10,123,4000,0.86
10,123,5000,0.92
10,123,6000,0.86
10,123,7000,0.86
10,123,8000,0.88
10,123,9000,0.86
10,123,10000,0.9
10,123,11000,0.82
10,123,12000,0.86
10,123,13000,0.82
10,123,14000,0.8
10,123,15000,0.82
10,123,16000,0.84
10,123,17000,0.88
10,123,18000,0.86
10,123,19000,0.82
10,123,20000,0.86
10,123,21000,0.82
10,123,22000,0.84
10,123,23000,0.78
10,123,24000,0.82
10,123,25000,0.8
10,123,26000,0.78
10,123,27000,0.78
10,123,28000,0.8
10,123,29000,0.82
10,123,30000,0.78
10,123,31000,0.82
10,123,32000,0.84
10,123,33000,0.8
10,123,34000,0.82
10,123,35000,0.8
10,123,36000,0.76
10,123,37000,0.8
10,123,38000,0.84
10,123,39000,0.76
10,123,40000,0.74
10,123,41000,0.76
10,123,42000,0.76
10,123,43000,0.72
10,123,44000,0.78
10,123,45000,0.8
10,123,46000,0.76
10,123,47000,0.82
10,123,48000,0.82
10,123,49000,0.8
10,123,50000,0.8
10,42,0,0.0
10,42,1000,0.92
10,42,2000,0.94
10,42,3000,0.9
10,42,4000,0.94
10,42,5000,0.96
10,42,6000,0.92
10,42,7000,0.94
10,42,8000,0.88
10,42,9000,0.92
10,42,10000,0.86
10,42,11000,0.86
10,42,12000,0.86
10,42,13000,0.88
10,42,14000,0.86
10,42,15000,0.88
10,42,16000,0.88
10,42,17000,0.84
10,42,18000,0.86
10,42,19000,0.88
10,42,20000,0.82
10,42,21000,0.9
10,42,22000,0.84
10,42,23000,0.9
10,42,24000,0.94
10,42,25000,0.88
10,42,26000,0.88
10,42,27000,0.92
10,42,28000,0.92
10,42,29000,0.88
10,42,30000,0.9
10,42,31000,0.96
10,42,32000,0.92
10,42,33000,0.92
10,42,34000,0.9
10,42,35000,0.9
10,42,36000,0.9
10,42,37000,0.92
10,42,38000,0.92
10,42,39000,0.84
10,42,40000,0.9
10,42,41000,0.84
10,42,42000,0.92
10,42,43000,0.94
10,42,44000,0.92
10,42,45000,0.9
10,42,46000,0.86
10,42,47000,0.92
10,42,48000,0.88
10,42,49000,0.86
10,42,50000,0.9
20,123,0,0.0
20,123,1000,0.96
20,123,2000,0.94
20,123,3000,0.96
20,123,4000,0.96
20,123,5000,0.92
20,123,6000,0.92
20,123,7000,0.88
20,123,8000,0.92
20,123,9000,0.92
20,123,10000,0.92
20,123,11000,0.94
20,123,12000,0.84
20,123,13000,0.92
20,123,14000,0.98
20,123,15000,0.88
20,123,16000,0.96
20,123,17000,0.92
20,123,18000,0.9
20,123,19000,0.88
20,123,20000,0.88
20,123,21000,0.88
20,123,22000,0.96
20,123,23000,0.88
20,123,24000,0.9
20,123,25000,0.88
20,123,26000,0.88
20,123,27000,0.92
20,123,28000,0.9
20,123,29000,0.82
20,123,30000,0.86
20,123,31000,0.94
20,123,32000,0.84
20,123,33000,0.92
20,123,34000,0.9
20,123,35000,0.96
20,123,36000,0.94
20,123,37000,0.96
20,123,38000,0.98
20,123,39000,0.9
20,123,40000,0.94
20,123,41000,0.94
20,123,42000,0.94
20,123,43000,0.96
20,123,44000,0.92
20,123,45000,0.9
20,123,46000,0.94
20,123,47000,0.88
20,123,48000,0.98
20,123,49000,0.96
20,123,50000,0.94
15,456,0,0.0
15,456,1000,0.94
15,456,2000,0.88
15,456,3000,0.92
15,456,4000,0.92
15,456,5000,0.94
15,456,6000,0.94
15,456,7000,0.92
15,456,8000,0.88
15,456,9000,0.9
15,456,10000,0.9
15,456,11000,0.88
15,456,12000,0.88
15,456,13000,0.92
15,456,14000,0.92
15,456,15000,0.88
15,456,16000,0.9
15,456,17000,0.94
15,456,18000,0.9
15,456,19000,0.88
15,456,20000,0.88
15,456,21000,0.88
15,456,22000,0.9
15,456,23000,0.9
15,456,24000,0.88
15,456,25000,0.92
15,456,26000,0.88
15,456,27000,0.9
15,456,28000,0.92
15,456,29000,0.9
15,456,30000,0.9
15,456,31000,0.9
15,456,32000,0.9
15,456,33000,0.94
15,456,34000,0.88
15,456,35000,0.92
15,456,36000,0.92
15,456,37000,0.96
15,456,38000,0.88
15,456,39000,0.94
15,456,40000,0.94
15,456,41000,0.96
15,456,42000,0.96
15,456,43000,0.98
15,456,44000,0.96
15,456,45000,0.96
15,456,46000,0.98
15,456,47000,0.9
15,456,48000,0.94
15,456,49000,0.94
15,456,50000,0.94
1,123,0,0.0
1,123,1000,0.74
1,123,2000,0.94
1,123,3000,0.82
1,123,4000,0.82
1,123,5000,0.82
1,123,6000,0.78
1,123,7000,0.86
1,123,8000,0.82
1,123,9000,0.8
1,123,10000,0.82
1,123,11000,0.76
1,123,12000,0.78
1,123,13000,0.88
1,123,14000,0.8
1,123,15000,0.76
1,123,16000,0.78
1,123,17000,0.74
1,123,18000,0.74
1,123,19000,0.7
1,123,20000,0.68
1,123,21000,0.7
1,123,22000,0.68
1,123,23000,0.7
1,123,24000,0.74
1,123,25000,0.62
1,123,26000,0.72
1,123,27000,0.9
1,123,28000,0.82
1,123,29000,0.76
1,123,30000,0.78
1,123,31000,0.74
1,123,32000,0.74
1,123,33000,0.76
1,123,34000,0.68
1,123,35000,0.74
1,123,36000,0.72
1,123,37000,0.74
1,123,38000,0.74
1,123,39000,0.76
1,123,40000,0.62
1,123,41000,0.68
1,123,42000,0.56
1,123,43000,0.64
1,123,44000,0.62
1,123,45000,0.6
1,123,46000,0.68
1,123,47000,0.6
1,123,48000,0.6
1,123,49000,0.58
1,123,50000,0.56
9,456,0,0.0
9,456,1000,0.92
9,456,2000,0.9
9,456,3000,0.92
9,456,4000,0.86
9,456,5000,0.88
9,456,6000,0.84
9,456,7000,0.78
9,456,8000,0.72
9,456,9000,0.74
9,456,10000,0.82
9,456,11000,0.8
9,456,12000,0.76
9,456,13000,0.82
9,456,14000,0.68
9,456,15000,0.8
9,456,16000,0.72
9,456,17000,0.78
9,456,18000,0.88
9,456,19000,0.76
9,456,20000,0.76
9,456,21000,0.76
9,456,22000,0.76
9,456,23000,0.82
9,456,24000,0.8
9,456,25000,0.86
9,456,26000,0.82
9,456,27000,0.8
9,456,28000,0.92
9,456,29000,0.9
9,456,30000,0.86
9,456,31000,0.84
9,456,32000,0.88
9,456,33000,0.98
9,456,34000,0.94
9,456,35000,0.94
9,456,36000,0.86
9,456,37000,0.88
9,456,38000,0.9
9,456,39000,0.82
9,456,40000,0.9
9,456,41000,0.88
9,456,42000,0.92
9,456,43000,0.88
9,456,44000,0.92
9,456,45000,0.9
9,456,46000,0.92
9,456,47000,0.9
9,456,48000,0.92
9,456,49000,0.96
9,456,50000,0.94
6,456,0,0.0
6,456,1000,0.92
6,456,2000,0.88
6,456,3000,0.86
6,456,4000,0.88
6,456,5000,0.86
6,456,6000,0.92
6,456,7000,0.9
6,456,8000,0.9
6,456,9000,0.86
6,456,10000,0.9
6,456,11000,0.88
6,456,12000,0.9
6,456,13000,0.88
6,456,14000,0.92
6,456,15000,0.9
6,456,16000,0.9
6,456,17000,0.9
6,456,18000,0.84
6,456,19000,0.84
6,456,20000,0.84
6,456,21000,0.86
6,456,22000,0.78
6,456,23000,0.86
6,456,24000,0.86
6,456,25000,0.92
6,456,26000,0.86
6,456,27000,0.88
6,456,28000,0.86
6,456,29000,0.9
6,456,30000,0.86
6,456,31000,0.88
6,456,32000,0.86
6,456,33000,0.86
6,456,34000,0.86
6,456,35000,0.9
6,456,36000,0.88
6,456,37000,0.9
6,456,38000,0.84
6,456,39000,0.84
6,456,40000,0.86
6,456,41000,0.9
6,456,42000,0.84
6,456,43000,0.86
6,456,44000,0.84
6,456,45000,0.84
6,456,46000,0.8
6,456,47000,0.88
6,456,48000,0.86
6,456,49000,0.9
6,456,50000,0.84
12,123,0,0.0
12,123,1000,0.94
12,123,2000,0.96
12,123,3000,0.96
12,123,4000,0.96
12,123,5000,0.94
12,123,6000,0.84
12,123,7000,0.86
12,123,8000,0.94
12,123,9000,0.88
12,123,10000,0.8
12,123,11000,0.9
12,123,12000,0.9
12,123,13000,0.88
12,123,14000,0.84
12,123,15000,0.88
12,123,16000,0.88
12,123,17000,0.9
12,123,18000,0.84
12,123,19000,0.88
12,123,20000,0.8
12,123,21000,0.78
12,123,22000,0.86
12,123,23000,0.82
12,123,24000,0.82
12,123,25000,0.78
12,123,26000,0.86
12,123,27000,0.82
12,123,28000,0.82
12,123,29000,0.82
12,123,30000,0.74
12,123,31000,0.82
12,123,32000,0.8
12,123,33000,0.8
12,123,34000,0.76
12,123,35000,0.78
12,123,36000,0.74
12,123,37000,0.76
12,123,38000,0.82
12,123,39000,0.78
12,123,40000,0.84
12,123,41000,0.78
12,123,42000,0.82
12,123,43000,0.8
12,123,44000,0.8
12,123,45000,0.86
12,123,46000,0.82
